Time[s], Channel 0
-0.022513125000000, 0
0.000000000000000, 1
0.050114250000000, 0
0.100228500000000, 1
0.150342750000000, 0
0.200457000000000, 1
0.250571250000000, 0
0.300685500000000, 1
0.350799750000000, 0
0.400914000000000, 1
0.451028250000000, 0
0.501142500000000, 1
0.551256750000000, 0
0.601371000000000, 1
0.651485250000000, 0
0.701599500000000, 1
0.751713625000000, 0
0.801827875000000, 1
0.851942125000000, 0
0.902056375000000, 1
0.952170625000000, 0
1.002284875000000, 1
1.052399125000000, 0
1.102513375000000, 1
1.152627625000000, 0
1.202741875000000, 1
1.252856125000000, 0
1.302970375000000, 1
1.353084625000000, 0
1.403198875000000, 1
1.453313125000000, 0
1.503427375000000, 1
1.553541625000000, 0
1.603655875000000, 1
1.653770125000000, 0
1.703884375000000, 1
1.753998625000000, 0
1.804112875000000, 1
1.854227125000000, 0
1.904341375000000, 1
1.954455625000000, 0
2.004569875000000, 1
2.054684125000000, 0
2.104798375000000, 1
2.154912625000000, 0
2.205026875000000, 1
2.255141125000000, 0
2.305255375000000, 1
2.445495375000000, 0
2.545623625000000, 1
2.645752125000000, 0
2.745880625000000, 1
2.846009000000000, 0
2.946137500000000, 1
3.046266000000000, 0
3.146394375000000, 1
3.246522875000000, 0
3.346651375000000, 1
3.446779750000000, 0
3.546908250000000, 1
3.647036750000000, 0
3.747165125000000, 1
3.847293625000000, 0
3.947422125000000, 1
4.047550500000000, 0
4.147679000000000, 1
4.247807500000000, 0
4.347935875000000, 1
4.448064375000000, 0
4.548192750000000, 1
4.648321250000000, 0
4.748449750000000, 1
4.848578125000000, 0
4.948706625000000, 1
